difference,all,imported,indigenous,fleet
0,2,1,0,1
1,22,18,0,4
2,124,120,2,2
3,99,91,5,3
4,69,48,5,16
5,43,38,5,0
6,23,17,3,3
7,13,10,2,1
8,10,10,0,0
9,8,7,1,0
10,13,9,3,1
11,4,3,1,0
12,4,3,1,0
13,3,3,0,0
14,3,2,1,0
15,3,2,1,0
16,2,1,1,0
17,0,0,0,0
18,7,2,1,4
19,5,4,0,1
20,2,0,2,0
21,0,0,0,0
22,3,3,0,0
23,1,0,1,0
24,2,1,1,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,1,0,1,0
29,1,0,1,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,1,1,0,0
